id_dieta,nome_dieta,descricao,objetivo,restricoes,alimentos_permitidos,alimentos_proibidos,calorias_diarias,macro_proteinas_g,macro_carboidratos_g,macro_gorduras_g,descricao_macro,duracao_dias,nivel_dificuldade
539,Neque Esse,Natus nihil labore accusamus officia rerum voluptatum facere eaque temporibus.,Repellendus facere quaerat.,Sem carnes,Quo alias earum reprehenderit veritatis accusantium maiores possimus.,Reprehenderit aliquid delectus est expedita.,1515,199,99,66,"Baixo carboidrato, alta proteína e gordura",60,Fácil
540,Nemo Ullam,Cum libero maxime id qui praesentium vitae sed eius nostrum eos dolorem quasi.,Natus quia aperiam voluptatum.,Sem alimentos processados,Dolorum ullam illum ab.,Placeat facere reprehenderit provident cumque at.,1823,52,218,72,"Equilíbrio entre macros, rica em fibras",180,Moderado
541,Et Quibusdam,Totam reprehenderit amet ea exercitationem temporibus facilis fugiat in.,Aut consequatur distinctio.,Sem glúten,Dolorem debitis vero illum illum consectetur commodi rerum voluptatem.,Suscipit autem laboriosam et eius quisquam rem sequi.,1931,63,20,62,Foco em carboidratos complexos,60,Moderado
542,Error Quis,Modi dolore at assumenda minus voluptatibus earum aperiam soluta tenetur vero illum.,Libero cumque veniam qui.,Sem grãos e açúcares,Labore tempore laboriosam ipsum saepe labore aliquid repellendus quas.,Veritatis perferendis neque doloremque saepe.,2476,122,116,89,Rica em proteínas e vegetais,180,Moderado
543,Voluptatem Autem,Dolor at ipsa alias et sunt maiores illum beatae.,Odio quod reiciendis illo eius perferendis.,Baixo consumo de carboidratos,Fugit aperiam magni similique est.,Iste voluptas accusamus itaque molestias vitae accusamus repellat.,1816,170,275,32,Rica em proteínas e vegetais,90,Difícil
544,Sequi Doloremque,Nisi repellat consectetur natus soluta quo porro occaecati.,Excepturi at officiis dolore deserunt.,Sem glúten,Nostrum necessitatibus odio facilis maxime.,Odit qui velit nulla dolores cum alias.,1911,149,296,140,"Equilíbrio entre macros, rica em fibras",180,Difícil
545,Suscipit Eum,Harum enim libero architecto quaerat optio.,Facilis totam voluptatibus maxime voluptate esse.,Sem glúten,Id explicabo quos iste facere nostrum natus illo.,Nisi laudantium quae ab saepe minima blanditiis delectus totam aspernatur.,2589,191,292,43,Rica em proteínas e vegetais,180,Difícil
546,Doloribus Tempore,Cupiditate consequuntur atque pariatur dolorem atque.,Beatae velit dolorum accusamus fugit libero.,Baixo consumo de carboidratos,Odit officia tenetur laboriosam magnam saepe totam explicabo inventore nemo.,Sunt rem saepe laborum accusamus enim iure animi provident tempore.,2065,137,224,111,"Equilíbrio entre macros, rica em fibras",30,Moderado
547,Ea Quaerat,Architecto quos earum vitae quas id blanditiis quidem repudiandae nostrum doloremque.,At iste fugit nemo incidunt.,Sem alimentos industrializados,Doloribus minus dolorem nisi sed nisi.,Nulla quaerat vel suscipit minus voluptas labore.,1621,117,234,173,"Equilíbrio entre macros, sem alimentos processados",180,Difícil
548,Quaerat Sequi,Repellat nihil eos explicabo quaerat assumenda quod.,Iste natus commodi et.,Sem grãos e açúcares,Tenetur eius ad veniam magnam esse ducimus.,Quam incidunt esse harum dolor amet.,2137,88,191,141,"Equilíbrio entre macros, rica em fibras",180,Fácil
549,Commodi Optio,Voluptatibus eligendi accusantium amet doloribus dolore distinctio suscipit debitis quaerat adipisci consectetur.,Tenetur at enim laboriosam.,Sem alimentos processados,Ad reprehenderit cupiditate nam porro enim laborum voluptas magnam quibusdam hic.,Doloribus distinctio ipsum debitis repellendus culpa aperiam ullam.,2409,128,283,59,"Alta ingestão de carboidratos e fibras, moderada proteína",60,Moderado
550,Quis Facilis,Ab veniam unde voluptates numquam corrupti quidem totam voluptatem eius consectetur distinctio at.,Voluptates quae ea qui.,Sem alimentos industrializados,Distinctio nesciunt excepturi dolor porro.,Sequi repellat ullam eveniet illo consequatur itaque in quae vel perspiciatis.,1879,167,117,106,"Baixo carboidrato, alta proteína e gordura",30,Difícil
551,Tempora Itaque,Cumque dicta minus itaque quaerat dolorem voluptas mollitia officia veniam distinctio molestiae quae.,Placeat aspernatur nemo assumenda ipsum nemo.,Sem grãos e açúcares,A quod similique aliquid laborum.,Modi esse recusandae voluptas doloribus dolorum odio ipsum quae.,2190,138,107,136,"Equilíbrio entre macros, sem alimentos processados",30,Difícil
552,Nihil Totam,Ratione harum culpa omnis in perspiciatis vero quos.,Nesciunt asperiores ea suscipit ut.,Sem grãos e açúcares,Ab minima quaerat reiciendis ullam itaque.,Consequuntur sapiente perspiciatis itaque est debitis ipsum inventore.,2442,94,133,57,Rica em proteínas e vegetais,60,Moderado
553,Laborum Aspernatur,A molestiae ipsam velit deleniti incidunt pariatur provident eos neque consequatur est qui.,Nostrum aut qui.,Sem grãos e açúcares,Asperiores ea ipsa corporis perferendis odio alias.,Velit nemo facere quae esse autem culpa.,2874,142,329,132,"Equilíbrio entre macros, sem alimentos processados",60,Moderado
554,Saepe Incidunt,Quis quibusdam vero sit tempora fugit perspiciatis porro pariatur.,Sapiente unde unde.,Sem alimentos industrializados,Velit veniam facilis alias dolore.,Dolorem commodi odio perspiciatis possimus hic.,2909,170,148,56,"Alta ingestão de carboidratos e fibras, moderada proteína",60,Moderado
555,Similique Provident,Magnam fugit vitae velit tenetur quos ipsum debitis iusto saepe.,Repudiandae officiis natus magni porro hic.,Baixo consumo de carboidratos,Dolores unde eaque eveniet et sunt.,Nam sint sunt nihil delectus odit ratione quia aliquam.,1616,153,84,76,"Baixo carboidrato, alta proteína e gordura",60,Fácil
556,Illo Nihil,Quas natus exercitationem iste doloribus vel numquam corporis.,Corrupti ullam incidunt quo.,Baixo consumo de carboidratos,Vel dolor tempora laboriosam officiis.,Iste ullam corrupti ipsam fugiat qui libero esse doloremque voluptatibus.,2814,129,89,34,Rica em proteínas e vegetais,60,Moderado
557,Cum Placeat,Eligendi magnam voluptatibus velit quia veniam doloremque minima.,Pariatur neque blanditiis.,Baixo consumo de carboidratos,Voluptatibus eos aliquam porro mollitia adipisci reprehenderit ex quidem molestiae.,Cupiditate nobis velit neque quod pariatur voluptate error.,1975,91,380,51,"Equilíbrio entre macros, rica em fibras",90,Moderado
558,Rem Ut,Voluptatem consequuntur magni unde id similique incidunt.,Facilis tempore magni.,Sem alimentos processados,Ratione qui dolor autem provident facilis alias eligendi.,Repellendus eligendi dolor sit ut.,1950,64,383,35,Foco em carboidratos complexos,120,Moderado
559,Possimus Et,Et delectus ratione porro officia autem dicta a quis dolore veniam.,Commodi dolorum ad dolores fugiat officiis.,Sem carnes,Consequatur deleniti modi ab velit laudantium.,Ipsa itaque nam accusantium nobis nobis expedita corporis beatae.,2270,57,103,135,"Equilíbrio entre macros, sem alimentos processados",90,Fácil
560,Eaque Sapiente,Error voluptatum aperiam dolorem occaecati repudiandae a culpa.,Minima earum quasi nesciunt quidem.,Sem alimentos industrializados,Illo quo ea dolore a veritatis.,Deleniti delectus totam quos similique officiis minima.,2105,66,337,124,"Alta ingestão de carboidratos e fibras, moderada proteína",45,Moderado
561,Omnis Hic,Voluptatibus minima ipsam repellendus iure maxime molestiae voluptate.,Ullam veritatis atque perspiciatis ratione hic.,Sem alimentos processados,Culpa nobis repellat est voluptate quasi quis distinctio.,Aliquam repellat quasi beatae omnis soluta.,1686,144,94,153,"Alta gordura, baixa carb, moderada proteína",120,Moderado
562,Doloribus Facere,Est quibusdam animi soluta ipsam architecto beatae ut unde.,In numquam minus nihil.,Sem grãos e açúcares,Quidem impedit officia et ex mollitia laudantium tempora aliquid.,Autem aliquam iure amet voluptates.,2784,84,209,113,Foco em carboidratos complexos,30,Fácil
563,Nam Ab,Veritatis iste delectus maxime assumenda quis sed aut natus dolores aliquid.,Facilis quibusdam dignissimos culpa.,Sem alimentos industrializados,Quo velit velit animi unde maiores rerum a minus.,Dicta ipsum natus veniam.,2936,184,247,151,"Equilíbrio entre macros, sem alimentos processados",30,Difícil
564,Repellat Recusandae,Doloribus vitae iusto officia aliquid quisquam fugiat illo dolore.,Accusantium doloremque ducimus porro repudiandae harum.,Sem alimentos processados,Aut molestiae ea pariatur architecto error ipsam.,Libero neque ipsum aut quisquam debitis repudiandae temporibus voluptates non.,1523,193,349,89,Rica em proteínas e vegetais,30,Fácil
565,Facilis Reprehenderit,Non error excepturi odio laboriosam esse.,Beatae mollitia quod dolore ad.,Sem glúten,Dolores perferendis earum a adipisci.,Quos aliquam perspiciatis quo aut.,1971,59,77,44,"Alta ingestão de carboidratos e fibras, moderada proteína",30,Difícil
566,At Eius,Praesentium officia laboriosam quia quo dolorum deserunt incidunt deserunt aut assumenda accusantium recusandae.,Quae nemo provident eveniet nostrum.,Baixo consumo de carboidratos,Repudiandae tempora facilis eligendi illum.,Ipsa fugit ducimus fugiat quibusdam aspernatur maiores culpa.,1966,191,59,41,"Baixo carboidrato, alta proteína e gordura",180,Moderado
567,Adipisci Asperiores,Deserunt nobis cupiditate porro excepturi quia molestiae commodi autem ipsum atque voluptates illum.,Sed rem impedit tenetur fugiat.,Sem carnes,Ab reiciendis mollitia suscipit sapiente illum.,Quod mollitia repellendus quas reiciendis natus error tenetur maxime.,2322,167,158,144,"Baixo carboidrato, alta proteína e gordura",90,Difícil
568,Praesentium Fugiat,Dolorem neque deleniti rem quas nobis molestias aperiam repellendus corporis qui.,Sint incidunt totam aperiam.,Sem alimentos industrializados,Quas dicta corrupti voluptates quaerat labore similique blanditiis assumenda beatae.,Necessitatibus aliquam ratione eaque dolorum perferendis mollitia.,2747,74,150,117,"Baixo carboidrato, alta proteína e gordura",30,Fácil
569,Nesciunt Officia,Minus natus sit est est veniam sunt sunt odit soluta.,Vitae repellendus assumenda cupiditate temporibus eum.,Sem alimentos industrializados,Architecto suscipit expedita quidem fugiat amet unde perspiciatis explicabo omnis.,Praesentium a corporis qui sit ducimus aut consequuntur.,2163,61,329,54,Foco em carboidratos complexos,180,Difícil
570,Minima Natus,Minus ex ratione incidunt nobis sit.,Quos saepe sequi.,Sem laticínios,Non nostrum nisi fuga aperiam non sunt eveniet.,Possimus at sunt illum iusto cum.,2136,143,315,156,"Alta gordura, baixa carb, moderada proteína",90,Difícil
571,Consequatur Corrupti,Atque sapiente ea molestiae consequatur vitae aut officia officia.,Minus quod doloribus ex.,Sem carnes,Commodi exercitationem facere ipsa praesentium sed facere voluptatem molestiae.,Odio atque adipisci praesentium tempore.,2343,95,132,88,"Equilíbrio entre macros, sem alimentos processados",90,Difícil
572,Magni Quisquam,Cumque vel aspernatur maiores dolores odio sint molestiae alias.,Dignissimos odio sint minima.,Sem glúten,Inventore magnam soluta aut voluptates consequuntur voluptatibus delectus tenetur.,Adipisci corporis quod fugiat a harum.,2561,72,307,49,"Alta gordura, baixa carb, moderada proteína",90,Moderado
573,Consectetur Aperiam,Asperiores officiis exercitationem quidem provident assumenda quam quod.,Eius odio debitis ullam eaque.,Sem carnes,Rem ipsum labore nostrum vero.,Ab accusamus magnam commodi laudantium distinctio iure expedita.,2578,151,308,82,Foco em carboidratos complexos,120,Difícil
574,Perspiciatis Assumenda,Placeat repudiandae rerum reiciendis culpa quae iure distinctio quae impedit.,Nihil eveniet occaecati autem.,Sem glúten,Quia aliquid culpa eum sed labore.,Similique quae veniam voluptas facere officia.,2385,79,315,50,Foco em carboidratos complexos,30,Moderado
575,Provident Aperiam,Impedit officia a adipisci quibusdam tempora atque tempora libero possimus reiciendis unde aspernatur.,Ad nesciunt non.,Sem grãos e açúcares,Tempora ducimus sed neque voluptate cupiditate.,Temporibus harum temporibus necessitatibus aperiam quia provident.,1646,167,38,114,"Equilíbrio entre macros, rica em fibras",180,Fácil
576,Explicabo Tenetur,Dolores molestias odit nesciunt natus doloremque nostrum.,Explicabo esse deleniti laudantium suscipit asperiores.,Sem carnes,In fugiat quasi ea doloremque in porro illum dolorum.,Sit asperiores autem corporis aspernatur eius porro.,2037,145,235,32,"Baixo carboidrato, alta proteína e gordura",90,Moderado
577,Inventore Ullam,Saepe velit accusamus aperiam nam minus laudantium.,Amet adipisci totam enim.,Sem carnes,Laudantium repudiandae exercitationem dolores architecto porro assumenda nesciunt repellendus.,Sint consequuntur ad sunt ratione ab nam iste.,2931,148,309,115,"Alta gordura, baixa carb, moderada proteína",180,Moderado
578,Blanditiis Minima,Quis officiis temporibus saepe sequi libero similique impedit corrupti veniam repellat nulla ea.,Ipsum sed minima.,Sem laticínios,Facilis asperiores ipsa voluptates est eos iusto praesentium quisquam.,Repellat aperiam non possimus atque quas vel laboriosam voluptate.,2378,123,392,32,"Baixo carboidrato, alta proteína e gordura",60,Fácil
579,Harum Corrupti,Mollitia autem vel aperiam harum eligendi soluta quia quasi totam.,Repellendus unde odio maiores.,Sem carnes,Et harum beatae sed quis in doloribus eius dicta enim dolorem.,Facilis rerum iusto magni harum libero quos unde.,2311,135,255,141,"Alta ingestão de carboidratos e fibras, moderada proteína",90,Moderado
580,Magnam Aperiam,Necessitatibus totam reiciendis deleniti pariatur quidem eveniet.,Ratione tempora nisi eos.,Sem grãos e açúcares,Quibusdam perspiciatis animi sed.,Quas esse iusto veniam quam.,1756,109,236,108,"Equilíbrio entre macros, rica em fibras",60,Moderado
581,Voluptatibus Illum,Animi exercitationem quae deserunt maxime numquam vero repellendus sapiente.,Deleniti voluptatum earum laudantium hic.,Sem carnes,Inventore illo est ipsum illo magnam molestiae fugit quod.,Fugiat dolor alias ut blanditiis omnis hic excepturi consequatur delectus.,2336,103,170,110,"Equilíbrio entre macros, sem alimentos processados",30,Fácil
582,Illo Vel,Repellat consectetur modi unde perferendis dolor alias nihil accusantium eum perspiciatis quae eveniet.,Repudiandae tempora assumenda cum porro.,Sem alimentos industrializados,Explicabo cumque ut in natus quod.,Reiciendis sit ex deleniti hic consequuntur possimus tempora accusamus cumque.,2581,186,368,74,"Baixo carboidrato, alta proteína e gordura",60,Moderado
583,Ipsa Ab,Quasi occaecati quibusdam eveniet rerum enim voluptate.,Beatae porro distinctio laborum totam laborum cumque.,Sem grãos e açúcares,Placeat qui alias quas odio asperiores commodi.,Quis harum sunt maxime culpa molestias dolore quod labore.,2964,107,151,146,"Equilíbrio entre macros, rica em fibras",60,Fácil
584,Reiciendis A,Ex laudantium aut nihil natus reprehenderit mollitia repudiandae saepe voluptatibus assumenda at quis.,Consequatur maxime culpa modi.,Sem alimentos industrializados,Aliquam cupiditate natus deserunt soluta dolorum.,Corporis sunt exercitationem dolor aperiam perspiciatis aspernatur aut.,2832,52,336,139,"Equilíbrio entre macros, sem alimentos processados",60,Difícil
585,Explicabo Vero,Maxime temporibus alias dolorum odit corrupti culpa veritatis.,Odit consequatur perferendis assumenda voluptates eos.,Sem alimentos industrializados,Impedit temporibus id commodi dolores.,Reiciendis neque asperiores distinctio expedita quis.,2144,117,88,176,Rica em proteínas e vegetais,30,Fácil
586,Architecto Modi,Molestias veritatis tenetur sapiente quo debitis dolor magnam explicabo debitis.,Doloribus itaque tempore dolorem assumenda ex.,Sem grãos e açúcares,Sed quidem accusantium magni voluptatum eius pariatur facilis fugit voluptatibus quasi.,Dolor neque laborum sed ipsum explicabo inventore pariatur aliquid maxime.,2954,128,295,127,"Equilíbrio entre macros, rica em fibras",60,Moderado
587,Tempora Assumenda,Reiciendis illum accusantium architecto sequi sed molestiae temporibus placeat quam.,Optio exercitationem repellat aperiam.,Sem laticínios,Odit sed voluptatem voluptatem alias ab consequatur nisi delectus quos.,Ipsum ad ullam ducimus numquam commodi.,1938,189,49,65,"Equilíbrio entre macros, sem alimentos processados",180,Difícil
588,Exercitationem Doloribus,Error amet reiciendis animi libero similique tempora voluptatum nam maxime libero recusandae.,Incidunt consequatur neque.,Sem carnes,Exercitationem iste voluptatum nobis ad excepturi illum doloremque.,Harum velit saepe nostrum at asperiores iure.,2722,96,388,65,"Alta gordura, baixa carb, moderada proteína",120,Moderado
589,Debitis Minima,Modi consequatur vel optio voluptatem eius deserunt sint doloremque ad.,Error quidem voluptatum.,Sem alimentos processados,Sapiente excepturi quas ad facilis perspiciatis blanditiis cum enim tempore.,Explicabo ipsum eius provident in.,1731,96,212,137,Rica em proteínas e vegetais,90,Fácil
590,Aut Consequuntur,Libero quo omnis eum quae eos nesciunt debitis placeat.,Sit commodi nostrum.,Sem alimentos industrializados,Nulla vitae aspernatur corporis ullam impedit.,Veniam tenetur quis nesciunt minima nisi quibusdam ab placeat.,2050,135,90,101,"Equilíbrio entre macros, rica em fibras",30,Fácil
591,Aliquam Placeat,Explicabo deserunt natus pariatur ratione quae laborum voluptates ipsam.,Rerum praesentium incidunt.,Baixo consumo de carboidratos,Dolorum molestiae aperiam possimus eum illo.,Sint eos atque dolor nemo.,2530,129,68,47,"Baixo carboidrato, alta proteína e gordura",120,Moderado
592,Vero Amet,Natus veritatis maiores explicabo a qui rem minus dolorum fugit vitae.,Accusamus vel autem cum.,Sem glúten,Adipisci alias veritatis nihil tempora fuga ipsa aliquam ratione similique.,Dolor consequatur vitae ipsum ea ipsam.,2084,178,389,174,"Baixo carboidrato, alta proteína e gordura",180,Moderado
593,Distinctio Nulla,Ipsam tempore dolor illum saepe id explicabo necessitatibus id tempore perspiciatis.,Ipsum quis facilis sed maxime velit.,Sem laticínios,Explicabo non quasi velit nostrum.,Tenetur ut similique voluptates magni.,1542,67,246,106,"Alta ingestão de carboidratos e fibras, moderada proteína",60,Difícil
594,Illum Cupiditate,Mollitia maiores quidem quam cum a excepturi quos repellat dignissimos ut vel maxime.,Voluptatem nihil reiciendis.,Sem grãos e açúcares,Possimus accusantium fugiat expedita eaque esse occaecati qui suscipit quasi.,Recusandae sint culpa dolores earum earum.,1579,78,204,102,"Baixo carboidrato, alta proteína e gordura",90,Difícil
595,Earum Sunt,Ad ducimus quae doloribus deserunt iusto veritatis soluta deserunt nemo ducimus architecto a.,Illum recusandae eius.,Sem grãos e açúcares,Maxime adipisci doloremque dolorum occaecati.,Minima ex repellat provident ab ad earum sunt.,2563,72,215,87,Foco em carboidratos complexos,120,Difícil
596,Quam Ipsam,Distinctio in aliquid odio error labore sed.,Tenetur commodi dolores aspernatur nulla.,Sem alimentos processados,Soluta culpa sed repellat error quaerat.,Ipsa debitis placeat odio praesentium eligendi perspiciatis tempore harum eum architecto.,2778,137,399,179,"Equilíbrio entre macros, rica em fibras",120,Difícil
597,Rerum Expedita,Reiciendis iste autem molestias consequuntur illo.,Fuga ab repellendus.,Baixo consumo de carboidratos,Perferendis eius iste perspiciatis quae tempora nemo tempora excepturi dignissimos.,Recusandae ex ab dolorem quis consectetur aperiam iure.,2092,73,221,121,"Equilíbrio entre macros, rica em fibras",120,Moderado
598,At Optio,Architecto at aspernatur qui nemo vero minus eum illo vero natus eligendi.,Modi eos inventore minus non necessitatibus.,Sem grãos e açúcares,Eveniet adipisci eaque voluptate iste.,Corporis autem repellendus cupiditate.,2710,69,334,63,"Baixo carboidrato, alta proteína e gordura",180,Difícil
599,Dolores Cumque,Unde error ex sit hic enim doloribus hic doloribus quos.,Tempore eius sequi.,Sem alimentos industrializados,Consequatur cupiditate expedita eaque nam delectus vero vitae.,Optio vitae neque aspernatur quis.,2244,103,45,73,"Baixo carboidrato, alta proteína e gordura",120,Fácil
600,Vitae Totam,Recusandae accusamus maiores ratione quia recusandae ratione autem rerum.,Ea perspiciatis suscipit explicabo deserunt.,Sem glúten,Minima iure laborum nihil distinctio reiciendis.,Facilis harum dignissimos voluptatum nam cum veritatis est.,2253,79,349,43,Rica em proteínas e vegetais,90,Moderado
601,Delectus Quasi,Ex est impedit pariatur ducimus porro eum quam.,Ipsa eius iure ratione.,Sem glúten,Temporibus repudiandae esse possimus maxime similique rem similique.,Aperiam nobis dolore mollitia ullam labore.,2094,182,57,147,"Baixo carboidrato, alta proteína e gordura",45,Fácil
602,Tempore Deleniti,Culpa praesentium fugiat voluptatibus non repudiandae assumenda voluptate quidem magnam optio vero.,Quisquam veniam nobis iure maxime.,Sem alimentos industrializados,Quo at quae deleniti placeat mollitia eius tempore.,Dicta molestiae nulla non iusto repellat mollitia minima quas recusandae rem.,1541,177,182,138,"Baixo carboidrato, alta proteína e gordura",60,Moderado
603,Minus Sapiente,Aperiam maxime et quos officiis itaque tempora deleniti quo delectus sunt mollitia illum.,Molestiae cupiditate unde reiciendis repellendus.,Sem alimentos processados,Itaque facere nobis ipsam odit quisquam blanditiis.,Voluptate ullam est ratione enim veniam occaecati debitis blanditiis.,2904,154,293,115,"Alta gordura, baixa carb, moderada proteína",90,Fácil
604,Magni Accusantium,Quam earum dolores commodi accusamus tenetur nostrum assumenda aut occaecati neque.,Impedit blanditiis unde.,Sem glúten,Officia autem fuga reiciendis a accusamus debitis perferendis tempora debitis.,Animi harum in soluta rerum sapiente iste error velit suscipit iusto.,2630,64,304,30,"Equilíbrio entre macros, sem alimentos processados",60,Moderado
605,Temporibus Nisi,Omnis odio dolores veritatis assumenda repellendus aliquid nemo quia suscipit.,Earum consequuntur debitis sunt.,Sem laticínios,Ducimus ullam deserunt ipsa aperiam odio sint.,Qui atque excepturi non reiciendis consectetur perspiciatis est molestiae nihil.,2342,167,343,171,Foco em carboidratos complexos,180,Fácil
606,Facere Veniam,Reprehenderit alias culpa mollitia labore suscipit deserunt quibusdam odio deserunt.,Molestias quibusdam debitis dicta iusto.,Baixo consumo de carboidratos,Voluptatem aliquid repellendus repudiandae repudiandae perspiciatis sint labore nemo nobis at.,Impedit ratione reiciendis laudantium nesciunt.,1585,136,310,60,Rica em proteínas e vegetais,180,Moderado
607,Expedita Alias,Sequi quibusdam doloremque sint occaecati tempora animi earum.,Inventore aperiam nulla nesciunt laboriosam quas.,Sem carnes,Reiciendis provident suscipit vero ad accusamus ipsam ratione autem sit.,Praesentium recusandae tempore quia.,2901,118,29,71,"Alta ingestão de carboidratos e fibras, moderada proteína",180,Fácil
608,Omnis Voluptas,Commodi ipsum ab fuga cupiditate itaque rerum atque non non.,Laborum corrupti neque iusto necessitatibus rerum.,Baixo consumo de carboidratos,Sunt rerum beatae magnam amet architecto quasi modi nam.,Blanditiis nesciunt maiores culpa doloribus ducimus reprehenderit.,2002,199,126,177,Rica em proteínas e vegetais,45,Difícil
609,Dolorum Nobis,Temporibus culpa suscipit sunt commodi quam necessitatibus tempora corrupti deleniti.,Magni voluptatibus sapiente.,Sem alimentos processados,Quod eveniet asperiores velit ea fugit unde nostrum sed.,Reprehenderit eligendi eveniet quos dolor deleniti earum tempora dolorum tempore.,2813,180,367,141,"Alta gordura, baixa carb, moderada proteína",45,Moderado
610,Magnam Quos,Corporis inventore repellat consequuntur neque maxime fuga quos culpa architecto aliquid soluta ducimus.,Tempora delectus consequuntur voluptates.,Sem alimentos processados,Doloribus voluptate corporis iure consectetur.,Architecto at quam nobis dolorem.,2941,193,36,121,Rica em proteínas e vegetais,60,Fácil
611,Modi Quo,Rerum aspernatur quisquam facere ratione ipsa doloremque ut eum reprehenderit quibusdam odio cupiditate fugit.,Deleniti sed explicabo veniam aperiam.,Sem alimentos industrializados,Quasi dolorum rem quae aliquid facilis est minus cum a.,Architecto deserunt laborum iste excepturi temporibus neque iure voluptatum.,1679,191,357,30,"Alta ingestão de carboidratos e fibras, moderada proteína",60,Fácil
612,Id Pariatur,Facilis dolore temporibus corporis quisquam iure quod totam.,Laborum animi praesentium quaerat ad.,Sem carnes,Ad sunt distinctio eveniet temporibus eligendi optio.,Quod itaque culpa velit ab voluptatum reiciendis beatae.,2408,150,191,73,"Equilíbrio entre macros, sem alimentos processados",60,Fácil
613,Eos Sit,Ab doloremque atque delectus sunt illo soluta unde necessitatibus modi.,Odio repellendus quisquam enim.,Sem alimentos processados,Quas officiis velit aliquid aperiam temporibus repellat culpa.,Voluptatum ab fugit accusamus a nihil.,2876,176,143,171,"Alta ingestão de carboidratos e fibras, moderada proteína",60,Difícil
614,Fugit Eveniet,Veniam fugit ex saepe cum dolor quas porro quas suscipit.,Dignissimos pariatur minus accusantium consequatur exercitationem.,Baixo consumo de carboidratos,Vitae a id error illum voluptates laboriosam dolorem.,Perspiciatis repudiandae illo modi voluptatum enim nisi commodi sequi dolore.,2752,170,316,50,Foco em carboidratos complexos,180,Moderado
615,Assumenda Hic,Excepturi perspiciatis voluptatibus eveniet sapiente eum.,Labore impedit alias odio reprehenderit ullam.,Sem grãos e açúcares,Vero sequi rerum neque soluta.,Alias aliquid fugit reiciendis sint natus molestiae similique.,2438,60,188,30,Rica em proteínas e vegetais,180,Difícil
616,Non Facere,Veniam dignissimos dignissimos facilis non perspiciatis sint doloremque necessitatibus optio autem.,Quod omnis quia expedita error.,Sem glúten,Eligendi quo cupiditate id at nulla perspiciatis at enim.,Facilis nesciunt est fugiat.,2355,151,187,50,"Baixo carboidrato, alta proteína e gordura",90,Moderado
617,Magnam Iste,Facere alias quos doloremque animi doloribus consequuntur.,Minus vel mollitia officia odit.,Baixo consumo de carboidratos,Corrupti quisquam at saepe laboriosam.,Perspiciatis eius eaque beatae dolorem.,2745,56,332,76,"Equilíbrio entre macros, rica em fibras",60,Difícil
618,Deserunt Provident,Similique quas non ab vero consequuntur eos voluptatibus aliquid.,Corrupti rerum neque quam ratione ullam.,Sem glúten,Eum corporis veritatis illo.,Sapiente veniam vitae ducimus aperiam culpa repudiandae labore eos doloribus.,2540,81,180,70,"Alta gordura, baixa carb, moderada proteína",45,Difícil
619,Eius Unde,Modi aspernatur mollitia laborum quam omnis magnam molestias dignissimos in.,Repellendus expedita quos.,Sem alimentos processados,Amet iste odit pariatur quam dignissimos.,Unde odio assumenda ipsa error.,2118,66,366,149,"Equilíbrio entre macros, rica em fibras",30,Difícil
620,Commodi Quo,Consectetur odio voluptates earum eligendi distinctio aperiam quo esse esse.,Saepe ea quasi.,Sem alimentos industrializados,Vel maiores eius perferendis recusandae qui blanditiis eos est repellendus.,Temporibus eaque reiciendis earum possimus sed illo explicabo quod ullam.,2984,154,152,160,Rica em proteínas e vegetais,60,Difícil
621,Pariatur Cumque,Dignissimos sed omnis commodi veritatis at reiciendis incidunt ab.,Voluptates distinctio ipsa tenetur ad.,Sem carnes,Distinctio necessitatibus provident occaecati ipsam ex nemo non aliquid quia fuga.,Accusantium quo eos fuga possimus necessitatibus.,2451,51,32,173,Rica em proteínas e vegetais,30,Fácil
622,Numquam Vitae,Consequuntur commodi molestiae dignissimos dolorem placeat.,Porro architecto deserunt deserunt quisquam.,Sem alimentos industrializados,Error ea corrupti ratione tenetur beatae sunt fugit in deserunt.,Vero assumenda totam magni doloremque rem exercitationem quia quisquam maiores.,2181,151,230,138,Rica em proteínas e vegetais,60,Difícil
623,Suscipit Cupiditate,Cumque molestiae recusandae pariatur vero ipsam omnis.,Deleniti similique esse beatae vel.,Sem carnes,Harum ea aliquam aperiam eveniet quae ea id.,Vitae blanditiis exercitationem ducimus et.,2237,122,148,74,"Equilíbrio entre macros, rica em fibras",120,Difícil
624,Eveniet Iusto,Illum ut dolores quidem quasi dolorum.,Tempore est fugiat labore totam modi.,Baixo consumo de carboidratos,Nesciunt esse architecto incidunt voluptas.,Ipsam molestias iusto libero et aut tenetur aspernatur.,1508,137,371,161,"Alta ingestão de carboidratos e fibras, moderada proteína",30,Fácil
625,Est Ad,Autem nesciunt non officiis iusto fugit architecto nulla incidunt.,Harum veritatis quo delectus.,Sem glúten,Corporis deserunt quaerat accusamus esse aliquam.,Sunt explicabo dolore eos molestias.,2358,63,371,163,"Baixo carboidrato, alta proteína e gordura",120,Fácil
626,Iure Optio,Laborum saepe necessitatibus sit natus rem ullam unde molestiae fugit facere dolore.,Adipisci dicta dolore minus harum autem.,Sem carnes,Nesciunt repellendus quas numquam.,Similique placeat labore ex velit quibusdam iusto.,2492,79,173,155,"Equilíbrio entre macros, sem alimentos processados",30,Difícil
