id,data_coleta,localizacao,tipo_ambiente,temperatura,umidade,ph_agua,nivel_poluição,tipo_poluento,descricao_vegetacao,fauna_observada,solos_caracteristica,descricao_impacto,responsavel_coleta,observacoes
432,2025-09-28,"""-32.215, -42.5292""",água,32.3,44,7.9,Baixo,,Voluptates labore porro eos voluptas aspernatur.,Odio accusantium perferendis.,"""Orgânico, rico em nutrientes""",Quidem quam nostrum est perspiciatis eveniet aliquid.,Alice Oliveira,Nihil suscipit provident error reiciendis recusandae ut nam.
433,2025-02-02,"""-1.5011, -72.4826""",ar,31.4,76,,Crítico,Esgoto,Iure quos atque facere labore.,Debitis voluptates.,"""Rochoso, baixa permeabilidade""",Blanditiis aspernatur in consequuntur tenetur.,Giovanna Sampaio,Asperiores sit molestias quibusdam expedita reiciendis inventore libero eligendi.
434,2024-11-09,"""-1.2422, -55.2421""",água,33.2,81,7.8,Alto,Plástico,Voluptate distinctio quis atque libero dicta.,Eaque eum qui nisi ipsam.,"""Argiloso, boa drenagem""",Est nostrum inventore sit earum exercitationem assumenda minima.,Felipe Martins,Dolor ipsa dolorem autem.
435,2025-04-28,"""-21.691, -53.7088""",água,23.3,83,8.5,Moderado,Metais pesados,Ea magni odit nesciunt dignissimos facere autem.,Numquam officiis.,"""Orgânico, rico em nutrientes""",Quos reprehenderit occaecati.,Laura Pinto,Quasi saepe natus unde vel repellendus dolorem.
436,2024-12-19,"""-3.5711, -53.7843""",solo,17.3,61,,Baixo,,Dolores qui voluptatum est excepturi.,Quia ex ea.,"""Orgânico, rico em nutrientes""",Nihil soluta necessitatibus.,Felipe Alves,Perspiciatis itaque aspernatur maiores officiis.
437,2025-02-28,"""0.0332, -44.6851""",ar,18.1,83,,Alto,Esgoto,Ad ipsum nemo.,A aliquid.,"""Orgânico, rico em nutrientes""",Ipsa exercitationem rem laborum id.,Maria Clara Cassiano,Qui a ullam molestiae numquam in.
438,2024-10-25,"""-20.404, -71.5232""",solo,33.6,75,,Crítico,Químicos industriais,Dolorum eos voluptatem sapiente.,Quidem asperiores ab inventore.,"""Argiloso, boa drenagem""",Facere quasi molestiae.,Bruno Gonçalves,Mollitia dolor aliquam recusandae beatae inventore.
439,2025-01-16,"""-32.9951, -70.8546""",ar,16.9,59,,Moderado,Metais pesados,Repellendus dolor vel eum totam.,Quae enim placeat excepturi.,"""Argiloso, boa drenagem""",Expedita accusamus debitis ea porro minima.,Rebeca Jesus,Ex perferendis mollitia sapiente.
440,2025-01-22,"""-14.7556, -60.0692""",ar,19.2,41,,Moderado,Plástico,Occaecati voluptatem nulla.,Consequuntur distinctio ratione error.,"""Rochoso, baixa permeabilidade""",Sequi voluptatem at.,João Felipe da Paz,Facilis consectetur laboriosam numquam minima reprehenderit quibusdam dolore.
441,2025-01-28,"""-20.9746, -52.1965""",solo,16.8,73,,Crítico,Pesticidas,Ipsam accusantium quidem distinctio neque.,Beatae adipisci iusto sunt.,"""Argiloso, boa drenagem""",Ea sequi mollitia vitae non rem impedit.,Dr. José Pedro da Mota,Dolores rem neque blanditiis quisquam porro porro.
442,2025-07-27,"""-19.1597, -54.0304""",ar,31.5,74,,Baixo,,Veritatis soluta modi.,Recusandae fugit nisi esse.,"""Orgânico, rico em nutrientes""",Laboriosam dolore aperiam exercitationem tempore expedita facilis.,Dra. Sara da Rosa,Magnam dolores veritatis dolores amet alias omnis excepturi.
443,2024-12-10,"""-4.6491, -60.8909""",água,26.1,42,7.4,Alto,Pesticidas,Cupiditate molestiae occaecati vitae optio sit.,Adipisci rem.,"""Argiloso, boa drenagem""",Velit iste pariatur et sint.,José Miguel da Cunha,Fugiat eos dignissimos id optio unde molestiae cumque.
444,2025-01-03,"""-26.3705, -70.9937""",ar,31.1,65,,Alto,Pesticidas,Ea dolor illo sint cupiditate.,Exercitationem voluptas iure sequi.,"""Arenoso, pouco fértil""",Ex mollitia minus cumque esse quam autem reiciendis.,José Vieira,Voluptatibus sint natus magnam.
445,2025-02-24,"""2.5019, -62.0168""",solo,20.6,62,,Moderado,Esgoto,Similique eligendi ex voluptatum distinctio id quibusdam.,Aut perferendis sapiente officiis iste.,"""Rochoso, baixa permeabilidade""",Enim quibusdam ab quas.,Maria Alice Sampaio,Eaque aspernatur repellat cumque assumenda excepturi quod provident aperiam.
446,2024-10-25,"""-7.755, -61.7466""",solo,31.0,46,,Alto,Pesticidas,Sunt corporis id.,Tenetur alias consequatur.,"""Arenoso, pouco fértil""",Doloremque excepturi mollitia ipsa a molestias quae.,Dr. Benicio Vasconcelos,Quam nostrum dolorem tempore dignissimos.
447,2025-02-19,"""-16.5159, -55.8808""",água,18.4,88,6.6,Baixo,,Praesentium eius saepe unde.,Occaecati sequi ut.,"""Arenoso, pouco fértil""",Non sint saepe saepe ullam accusantium eius dicta.,Lucca Azevedo,Ullam reiciendis commodi aliquid voluptatem.
448,2024-10-29,"""-22.5546, -49.1792""",solo,34.8,58,,Crítico,Metais pesados,Aspernatur aperiam consectetur nemo.,Deleniti fugit saepe excepturi quasi.,"""Orgânico, rico em nutrientes""",Vel dicta debitis nam.,Dra. Natália Câmara,Cum consequuntur optio impedit.
449,2025-08-21,"""-10.7702, -42.4827""",solo,33.7,62,,Alto,Esgoto,Tempora distinctio incidunt minus occaecati.,Ipsam recusandae architecto.,"""Arenoso, pouco fértil""",Molestias nemo vel molestias exercitationem.,Emilly Martins,Aperiam recusandae culpa neque repellat ratione tenetur officiis sint.
450,2025-04-25,"""-25.874, -36.4695""",ar,34.8,69,,Baixo,,Iure similique illo.,Ad natus repudiandae numquam.,"""Orgânico, rico em nutrientes""",Quos cupiditate veritatis necessitatibus in sunt officiis ut.,Luiz Felipe da Costa,Culpa consequatur vitae eligendi reiciendis nihil doloribus eaque.
451,2025-03-03,"""-10.2961, -47.9852""",água,28.1,60,7.4,Baixo,,Modi tempore libero veniam ut.,Quas sed doloribus quo.,"""Argiloso, boa drenagem""",Distinctio recusandae blanditiis natus mollitia ipsa alias.,Benicio Carvalho,Quod expedita et sapiente culpa cupiditate.
452,2025-04-04,"""-17.185, -69.4299""",água,30.6,80,8.4,Moderado,Pesticidas,Sint facere illum.,Odio recusandae.,"""Argiloso, boa drenagem""",Incidunt beatae minus sint aut voluptatem explicabo.,Yago da Conceição,Laborum ex explicabo quia repellat quia hic.
453,2025-06-05,"""-3.5077, -58.7938""",ar,28.5,82,,Crítico,Pesticidas,Deleniti occaecati vero ullam quidem ducimus.,Adipisci odio et.,"""Rochoso, baixa permeabilidade""",Vero odit dolores.,João Gabriel da Mota,Laboriosam quidem enim amet totam.
454,2025-03-21,"""-22.243, -50.7394""",ar,16.7,73,,Alto,Metais pesados,Quia dignissimos saepe quas quis.,Dolorem ducimus.,"""Argiloso, boa drenagem""",Necessitatibus quibusdam assumenda provident impedit ratione iste sint.,Jade Souza,Deleniti ut deleniti debitis.
455,2024-11-08,"""-20.1858, -35.7883""",solo,21.7,77,,Crítico,Metais pesados,Perferendis molestias repellat.,Ipsam aut numquam ipsa fugit.,"""Orgânico, rico em nutrientes""",Odit et voluptatum aliquid sint vitae voluptatem.,Luiz Henrique Pereira,Dicta enim dolor assumenda occaecati illo porro veritatis.
456,2025-10-07,"""-32.494, -57.4459""",água,33.3,81,6.9,Moderado,Plástico,Minus excepturi quisquam facilis totam.,Tempore labore aspernatur quam.,"""Arenoso, pouco fértil""",Corrupti odio architecto consequatur impedit.,Maysa da Conceição,Illo facere pariatur laborum accusantium ullam nemo.
457,2025-02-05,"""-5.6524, -43.6432""",ar,32.7,67,,Moderado,Plástico,Ea autem consequuntur dolorem doloribus aliquid.,Vero exercitationem.,"""Orgânico, rico em nutrientes""",Magni repellat velit laboriosam.,Sra. Helena Pereira,Beatae mollitia occaecati harum.
458,2025-08-20,"""-22.3311, -64.3976""",ar,32.3,75,,Moderado,Metais pesados,Maxime ea delectus qui voluptatum.,Rerum nemo.,"""Arenoso, pouco fértil""",Animi vero repellat velit officia voluptatum molestias.,Vinicius Barros,Harum nulla nemo debitis mollitia.
459,2025-01-24,"""-31.0058, -42.2653""",ar,23.0,86,,Moderado,Plástico,Doloremque distinctio dolor non.,Maiores deserunt dolor deleniti aspernatur.,"""Orgânico, rico em nutrientes""",Ex inventore sequi.,Srta. Sofia Ferreira,Inventore ducimus deleniti doloribus iure pariatur perspiciatis.
460,2025-03-13,"""-30.1987, -73.6383""",solo,17.7,56,,Baixo,,Laudantium magni necessitatibus aliquid.,Qui inventore deleniti doloribus.,"""Arenoso, pouco fértil""",Perferendis dolorum fuga aperiam.,Samuel Garcia,Eum eius dolore temporibus ut incidunt nobis praesentium.
461,2025-02-11,"""1.4184, -58.7003""",ar,23.4,67,,Crítico,Plástico,Fuga sed est qui deleniti.,Deserunt quisquam debitis neque.,"""Argiloso, boa drenagem""",Fugit quas harum impedit illo.,Alícia Cavalcante,At culpa id nesciunt in totam adipisci ut a.
462,2025-09-27,"""-13.7336, -51.828""",água,27.9,57,7.6,Moderado,Esgoto,Adipisci vero beatae nam.,Voluptate quisquam corporis.,"""Arenoso, pouco fértil""",Esse nostrum illo eius eveniet assumenda enim.,Natália Cavalcanti,Iusto possimus ab autem facere veniam fuga.
463,2024-12-28,"""-31.7924, -68.0503""",solo,24.4,42,,Moderado,Metais pesados,Ab assumenda mollitia maiores.,Aliquam necessitatibus asperiores.,"""Argiloso, boa drenagem""",Corporis architecto a suscipit.,André Macedo,Eos minus ad dolor hic saepe occaecati.
464,2025-04-15,"""4.9729, -72.8451""",água,27.6,58,8.4,Crítico,Metais pesados,Quis eveniet assumenda ab qui.,Similique sit tempora mollitia cupiditate.,"""Arenoso, pouco fértil""",Et tenetur ut necessitatibus.,Dr. Luiz Otávio Azevedo,Iste cupiditate exercitationem quidem.
465,2025-04-29,"""4.2057, -44.6191""",água,26.3,71,8.2,Baixo,,Quod quasi fugiat officiis eaque.,Quo animi beatae reprehenderit.,"""Orgânico, rico em nutrientes""",Quibusdam nesciunt illo aperiam.,Samuel Jesus,Architecto beatae mollitia amet.
466,2025-01-23,"""-31.0336, -44.1923""",água,23.8,77,7.6,Baixo,,Excepturi enim tenetur quas.,Maiores illum repudiandae.,"""Orgânico, rico em nutrientes""",Placeat iste soluta iste.,Dante Ramos,Deserunt magnam ea illo dolorem illo.
467,2025-03-26,"""-27.8224, -67.3993""",ar,26.6,89,,Moderado,Pesticidas,Facere corporis voluptatem quis doloremque.,Cupiditate ipsa ratione libero.,"""Argiloso, boa drenagem""",Dolores ipsum quisquam maxime dignissimos explicabo.,Sr. Davi Lucca Mendes,Nesciunt in doloribus molestiae.
468,2025-01-20,"""-30.9123, -39.3614""",água,30.8,61,7.9,Moderado,Esgoto,Quae omnis voluptatem illo dolor.,Nam maiores.,"""Rochoso, baixa permeabilidade""",Et laboriosam corrupti sed ipsam incidunt totam.,Asafe da Paz,Illum culpa magnam soluta id distinctio reiciendis.
469,2025-05-15,"""-12.9005, -38.9852""",água,23.7,47,6.7,Baixo,,Officiis quibusdam quod.,Id dicta sint.,"""Orgânico, rico em nutrientes""",Aperiam aliquid deserunt illo.,Lucas Gabriel Nunes,Harum asperiores nesciunt provident labore culpa quos expedita minus.
470,2024-12-14,"""-32.922, -61.5072""",água,17.3,74,6.8,Moderado,Plástico,Repudiandae autem excepturi labore mollitia.,Consequuntur fugiat delectus a.,"""Argiloso, boa drenagem""",Sit tempore sequi.,Maysa Pereira,Possimus facere officia velit animi voluptatum iure.
471,2024-11-06,"""-7.2332, -72.3527""",ar,31.6,47,,Alto,Plástico,Exercitationem et quisquam.,Odio autem illo.,"""Argiloso, boa drenagem""",Facilis eligendi laborum dolorum.,Theodoro Borges,Reprehenderit similique aut expedita soluta nostrum provident labore.
472,2025-06-10,"""-1.5636, -35.6756""",água,21.1,83,7.3,Baixo,,Explicabo quae error reiciendis.,Saepe dolore quasi nam.,"""Arenoso, pouco fértil""",Dolores qui provident doloribus quis sequi occaecati.,Sr. Davi Miguel Machado,Placeat architecto accusantium vero non.
473,2024-11-02,"""-21.8997, -67.0488""",água,15.6,66,6.3,Moderado,Plástico,Magni quibusdam repudiandae repellendus neque.,Amet libero.,"""Orgânico, rico em nutrientes""",Explicabo dignissimos cumque facilis modi quaerat modi.,Dr. Cauã Melo,Rem asperiores veniam enim quis facilis nihil.
474,2025-02-08,"""1.945, -39.2601""",ar,15.5,56,,Baixo,,Ullam nobis doloribus et magnam distinctio.,Incidunt dolores.,"""Rochoso, baixa permeabilidade""",Quod laboriosam omnis facere illum provident magni.,Laís Souza,Incidunt ex officiis dicta.
475,2025-09-13,"""-10.9379, -68.5779""",ar,29.5,79,,Alto,Pesticidas,Cupiditate adipisci quas sint quod mollitia.,Ut accusantium.,"""Arenoso, pouco fértil""",Cupiditate sunt omnis laboriosam deserunt ex soluta suscipit.,Beatriz Garcia,Recusandae eaque recusandae sed aut debitis.
476,2025-09-05,"""2.4382, -60.0629""",ar,24.3,65,,Baixo,,Ex quae provident occaecati.,Sed minima.,"""Argiloso, boa drenagem""",Soluta laudantium nihil vero facilis.,Joaquim Novais,Voluptatum placeat cum dolore commodi odit at vel modi.
477,2025-01-23,"""-30.8416, -69.4902""",ar,30.2,56,,Baixo,,Ipsam excepturi beatae facilis necessitatibus sapiente.,Quo dolorum.,"""Rochoso, baixa permeabilidade""",Nulla perferendis corrupti ullam deleniti voluptate.,Helena Pires,Mollitia explicabo laudantium tempora cum dolore.
478,2025-03-27,"""-22.6484, -57.4834""",ar,23.1,59,,Baixo,,Nihil inventore magni itaque voluptatem quidem.,Tempore debitis ut dicta.,"""Orgânico, rico em nutrientes""",Ad ex perspiciatis ratione.,Rodrigo da Mota,Enim reiciendis at occaecati accusamus dolores est.
479,2025-03-13,"""-11.8377, -56.3518""",solo,33.1,64,,Crítico,Radioatividade,Velit ullam esse repellendus.,Ex dignissimos cum.,"""Rochoso, baixa permeabilidade""",Delectus perspiciatis et quod nihil necessitatibus.,Nathan Rezende,Necessitatibus nihil asperiores veniam.
480,2025-03-09,"""-4.1679, -53.596""",solo,25.6,49,,Alto,Pesticidas,Eum natus odit eius totam eligendi.,Libero asperiores.,"""Rochoso, baixa permeabilidade""",Qui est debitis fuga doloribus.,Théo Rocha,Esse laudantium cumque deleniti eveniet.
481,2025-09-19,"""-13.7148, -59.7575""",solo,20.3,46,,Moderado,Plástico,Nisi aspernatur id delectus harum impedit.,Cupiditate optio quibusdam assumenda.,"""Arenoso, pouco fértil""",Quos velit voluptate autem.,Leandro Rezende,Iusto ab asperiores neque a.
482,2024-10-26,"""0.8247, -72.9666""",solo,19.7,56,,Alto,Químicos industriais,Labore quam delectus vitae molestiae quo reiciendis.,Ad labore.,"""Arenoso, pouco fértil""",Dignissimos aut distinctio veniam rem porro repellendus.,Sr. Bruno Sá,Ea fugit amet modi pariatur.
483,2025-08-03,"""-28.8685, -65.4603""",ar,20.1,87,,Moderado,Plástico,Distinctio dolorem optio iure ea.,Eveniet tempora.,"""Arenoso, pouco fértil""",Iusto enim repellat nisi.,Davi Lucas Carvalho,Pariatur eligendi sapiente eum unde ducimus minima ducimus nemo.
484,2025-06-01,"""-25.9607, -59.3173""",ar,33.2,52,,Alto,Esgoto,Quam harum saepe quo recusandae.,Vitae ipsa dignissimos corporis.,"""Arenoso, pouco fértil""",Rem quod necessitatibus maiores quam alias.,Thiago da Mota,Laborum mollitia magni id iusto.
485,2024-10-28,"""-4.1433, -68.2494""",água,28.0,50,6.8,Baixo,,Eum nemo animi natus ullam.,Cupiditate quos fuga doloremque.,"""Argiloso, boa drenagem""",Accusantium qui animi ipsum laboriosam quos.,Fernanda da Rosa,Eaque adipisci occaecati ullam.
486,2025-07-29,"""-11.3602, -69.9345""",água,15.7,76,7.8,Baixo,,Exercitationem dolorum perspiciatis architecto aliquid.,Similique assumenda.,"""Rochoso, baixa permeabilidade""",Ipsa dicta velit nostrum id.,Oliver Monteiro,Asperiores laboriosam tenetur fuga magnam.
487,2025-05-21,"""-14.667, -45.4493""",água,33.1,55,6.2,Alto,Esgoto,Sapiente necessitatibus illum.,Minus velit dolor quo.,"""Argiloso, boa drenagem""",Dolorem voluptatem libero.,Clarice Garcia,Dolorum dicta magni debitis ducimus.
488,2025-08-19,"""-20.9349, -50.1003""",água,18.9,61,7.9,Crítico,Metais pesados,Dolor labore distinctio nulla.,Beatae accusantium ratione ad.,"""Argiloso, boa drenagem""",Earum eligendi quidem voluptatem velit.,Anthony Gabriel Alves,Voluptatem aspernatur laudantium quas soluta laudantium in maiores accusantium.
489,2024-11-01,"""-24.9841, -62.2742""",solo,16.5,44,,Moderado,Pesticidas,Veritatis consequatur doloribus saepe laborum.,Repudiandae rem accusantium sint.,"""Orgânico, rico em nutrientes""",Aliquam minima cumque corporis tenetur.,Isaac Silveira,Praesentium illum dolores voluptates.
490,2025-05-03,"""-29.4088, -49.0709""",solo,31.1,65,,Moderado,Metais pesados,Culpa dicta quas praesentium quos.,Nostrum sint.,"""Arenoso, pouco fértil""",Sapiente culpa corporis numquam facilis.,Beatriz Machado,Corrupti tempore iure deleniti magni impedit nostrum blanditiis.
491,2025-03-19,"""-20.7624, -71.7408""",ar,20.9,50,,Alto,Plástico,Tenetur voluptatum sunt.,Laudantium provident quasi aut sed.,"""Argiloso, boa drenagem""",Veritatis et sed doloremque.,Ana Vitória Porto,Tempore occaecati reprehenderit ratione similique similique perspiciatis sint.
492,2025-10-08,"""-7.5932, -67.8306""",ar,32.1,48,,Alto,Pesticidas,Ipsam itaque vel laudantium numquam minus.,Exercitationem blanditiis dolorum.,"""Arenoso, pouco fértil""",Placeat deserunt nobis.,Anthony Gabriel Almeida,Dolores quibusdam modi voluptatum.
493,2025-01-24,"""-0.4712, -42.1379""",ar,33.8,67,,Moderado,Plástico,Quod at modi.,Repudiandae magni.,"""Argiloso, boa drenagem""",Iure necessitatibus debitis ad distinctio aliquam corporis.,Lara Moreira,Illo quidem tempore quas.
494,2025-01-03,"""-24.9903, -73.0801""",solo,15.0,60,,Alto,Pesticidas,Voluptatem itaque earum vero saepe.,Veniam iste corrupti.,"""Orgânico, rico em nutrientes""",Nostrum ipsam vel vitae unde.,Benício Cavalcanti,Animi quae commodi est.
495,2025-04-23,"""-24.8063, -72.2423""",solo,23.0,85,,Crítico,Químicos industriais,Ipsum reprehenderit repellat hic nisi error.,Saepe dolor fugiat in.,"""Arenoso, pouco fértil""",Cupiditate nostrum labore est incidunt impedit accusamus.,Maria Liz Azevedo,Perspiciatis earum voluptate impedit aliquid.
496,2024-12-31,"""-5.189, -59.7103""",água,31.4,48,7.5,Baixo,,Facilis eveniet tempora commodi enim.,Laudantium perspiciatis perspiciatis eos.,"""Rochoso, baixa permeabilidade""",Vel id velit nulla.,Maria Alice Sampaio,Assumenda dolorum libero ducimus quod minus.
497,2025-04-06,"""-8.82, -68.441""",solo,21.2,50,,Alto,Esgoto,Facere reprehenderit assumenda laborum omnis hic.,Ipsam inventore delectus explicabo blanditiis.,"""Rochoso, baixa permeabilidade""",Consequuntur ratione quibusdam odit saepe unde iusto.,José Alves,Atque consequatur consequuntur ad veniam officia.
498,2025-07-27,"""-9.2875, -50.5386""",ar,30.8,41,,Alto,Químicos industriais,Delectus commodi voluptates beatae commodi beatae.,Reiciendis ullam odio eius.,"""Rochoso, baixa permeabilidade""",Saepe tempore soluta maxime ab.,Vitor Sales,Facere adipisci totam optio.
499,2024-11-04,"""2.0067, -65.2441""",solo,29.4,75,,Baixo,,Incidunt ipsum nihil assumenda.,Corrupti placeat vero ullam.,"""Orgânico, rico em nutrientes""",Voluptates est est at qui.,Benjamim Mendes,Tempora dolore dolores ullam.
500,2025-06-25,"""-26.4277, -59.4794""",solo,16.0,76,,Crítico,Esgoto,Explicabo harum iste vel totam.,Eveniet eaque.,"""Arenoso, pouco fértil""",Perspiciatis quae dicta natus.,Dr. Eduardo Marques,Suscipit aut soluta aspernatur minus.
501,2025-05-07,"""-15.8799, -57.563""",ar,25.0,56,,Alto,Plástico,Reiciendis natus nesciunt tenetur ad necessitatibus.,Doloremque quam.,"""Arenoso, pouco fértil""",Nihil dolor reiciendis facilis quae temporibus laborum autem.,Emilly Cassiano,Nobis itaque repudiandae maiores nam modi laboriosam quidem.
502,2025-07-01,"""-15.4656, -42.1822""",água,22.7,61,6.6,Crítico,Radioatividade,Officiis neque voluptatem porro corporis nam.,Laudantium possimus eaque ab.,"""Argiloso, boa drenagem""",Illo nemo id illum ipsam.,Yan Câmara,Incidunt nesciunt ut odio dolor quod omnis.
503,2025-07-07,"""-22.5539, -50.1287""",ar,22.8,86,,Crítico,Pesticidas,Inventore nulla ipsam aliquid at expedita.,Esse natus ipsa rerum ipsam.,"""Arenoso, pouco fértil""",Dolore consectetur delectus.,Caroline Casa Grande,Delectus vitae eaque quia natus voluptatum.
504,2025-06-23,"""-3.1946, -49.3864""",ar,34.6,82,,Crítico,Químicos industriais,Eius doloremque cum accusantium.,In voluptatibus.,"""Rochoso, baixa permeabilidade""",Voluptatum tempore neque.,Brayan Albuquerque,Perspiciatis magnam labore neque officia.
505,2025-09-19,"""-4.3734, -73.8814""",solo,33.5,58,,Alto,Pesticidas,Repellendus expedita iste sapiente quos.,Alias quis accusamus recusandae.,"""Argiloso, boa drenagem""",Dolorem adipisci quae.,Letícia Freitas,Eveniet atque vel vel itaque expedita iste adipisci aliquid.
506,2025-09-27,"""-15.109, -51.9024""",solo,29.9,77,,Alto,Pesticidas,Pariatur expedita quas reprehenderit.,Dolorum itaque est.,"""Rochoso, baixa permeabilidade""",Nam iste explicabo modi.,Rodrigo Lima,Harum eligendi sapiente dolorem reiciendis.
507,2025-03-07,"""-24.1925, -38.9898""",água,32.7,75,6.1,Baixo,,Sint eaque alias voluptas nisi cupiditate.,Vel eos.,"""Argiloso, boa drenagem""",Maxime incidunt fuga nobis natus iure sit.,Maria Liz Moura,Minus iste officia explicabo suscipit.
508,2025-02-28,"""1.0218, -46.4014""",água,20.9,60,7.7,Moderado,Plástico,Sapiente repellat accusamus voluptate.,Placeat ad.,"""Rochoso, baixa permeabilidade""",Inventore error ipsum dolore laborum.,Ana Laura Silva,Repellendus accusantium incidunt accusamus libero.
509,2024-11-21,"""-7.9928, -63.9388""",ar,27.2,75,,Baixo,,Vel ratione saepe mollitia sed odio.,Tempore fugiat reiciendis.,"""Orgânico, rico em nutrientes""",Asperiores iste architecto error optio sunt possimus.,Lara Abreu,Nostrum ut alias iusto.
510,2025-01-28,"""3.0149, -52.9546""",água,30.3,65,8.0,Alto,Metais pesados,Impedit occaecati soluta temporibus nemo.,Vero pariatur deserunt sit.,"""Orgânico, rico em nutrientes""",Incidunt quos neque minus laudantium ex.,Luiz Otávio Dias,Libero ipsa et aperiam magni harum doloremque.
511,2025-07-19,"""0.2132, -64.671""",ar,31.5,88,,Crítico,Pesticidas,Expedita architecto numquam.,Occaecati laboriosam maiores deserunt.,"""Orgânico, rico em nutrientes""",Perspiciatis similique adipisci itaque porro.,Bryan Martins,Eaque deleniti veniam ipsa et recusandae maiores ad debitis.
512,2025-09-27,"""-7.1153, -73.1253""",água,31.2,88,7.9,Alto,Metais pesados,Maiores fuga dolor.,Fuga unde veritatis saepe doloremque.,"""Orgânico, rico em nutrientes""",Incidunt recusandae repellat fugit.,Benicio da Paz,Soluta magni iusto omnis ea quod est.
513,2025-09-30,"""-19.7972, -69.8192""",solo,21.4,77,,Crítico,Químicos industriais,Eos quibusdam expedita.,Ex accusamus quisquam.,"""Arenoso, pouco fértil""",Doloribus ut aspernatur non.,Dra. Ana Luiza Cunha,Numquam dolore itaque possimus sunt mollitia magnam.
514,2025-06-23,"""-32.4716, -46.0049""",água,34.3,60,8.3,Alto,Pesticidas,Id excepturi ipsam eos dolores.,Harum cumque.,"""Orgânico, rico em nutrientes""",Harum pariatur aut.,Ravy da Rosa,Tempore ipsam cum assumenda.
515,2025-01-07,"""-12.0226, -47.0603""",ar,19.3,61,,Moderado,Esgoto,Quo iste quam repellat ipsa placeat.,Rem minus.,"""Rochoso, baixa permeabilidade""",Atque distinctio ducimus.,Thales Pires,Nam nulla facilis alias officiis minima labore.
516,2025-07-16,"""-8.3664, -41.3074""",água,27.4,76,8.1,Moderado,Esgoto,Optio provident consequuntur.,Repellat velit ex dolor.,"""Rochoso, baixa permeabilidade""",Qui illum assumenda.,Sr. Benjamim Cirino,Odio laudantium sed tenetur nobis doloribus aperiam amet reiciendis.
517,2024-11-16,"""2.5636, -55.3298""",água,23.2,57,6.6,Alto,Químicos industriais,Veritatis beatae quis cupiditate dolorum illum.,Modi exercitationem nobis voluptatum consequuntur.,"""Orgânico, rico em nutrientes""",Magnam molestiae non distinctio.,Samuel Moreira,Sunt officia omnis sit blanditiis sequi.
518,2025-09-10,"""-8.332, -69.1877""",água,29.6,82,7.4,Moderado,Plástico,Et sit labore.,Quaerat delectus vero distinctio cupiditate.,"""Argiloso, boa drenagem""",Amet delectus molestiae dignissimos quae pariatur vero.,Lunna Vargas,Maxime ratione eos excepturi.
519,2025-06-01,"""0.2818, -44.8688""",ar,15.5,40,,Crítico,Esgoto,Dolor commodi commodi dicta sequi culpa.,Nobis quae reprehenderit excepturi.,"""Orgânico, rico em nutrientes""",Voluptatum unde reiciendis ea.,Zoe Ferreira,Similique quos itaque dolores a.
520,2024-12-10,"""4.8555, -59.6305""",água,25.7,79,7.4,Baixo,,Asperiores eaque quasi exercitationem maxime.,Aperiam officia accusamus error.,"""Arenoso, pouco fértil""",Expedita voluptatibus vel vitae sequi delectus quos.,Srta. Pietra Rios,Odio sint itaque ratione reprehenderit.
521,2024-11-04,"""-3.3938, -68.5912""",água,29.8,80,7.8,Alto,Pesticidas,Voluptate esse architecto consequuntur quae.,Accusamus odio vitae qui.,"""Argiloso, boa drenagem""",Voluptates repellat beatae rerum.,Eduardo da Costa,Ad mollitia at quae quo.
522,2025-01-22,"""-21.9928, -35.684""",solo,15.9,59,,Moderado,Esgoto,Tempora dolore amet commodi.,Sit accusantium quod officiis.,"""Arenoso, pouco fértil""",Quos nemo occaecati molestiae nostrum pariatur veniam.,Allana da Cunha,Nemo culpa voluptate ut voluptates.
523,2025-04-10,"""-30.5052, -39.9854""",solo,20.7,40,,Baixo,,Qui beatae possimus enim aspernatur.,Tempora dolore perspiciatis.,"""Orgânico, rico em nutrientes""",Corrupti neque voluptatibus iste vero autem voluptates.,Dr. Thiago Garcia,Porro laboriosam minus labore voluptatibus dolores dolore nostrum tenetur.
524,2024-10-25,"""3.566, -43.0521""",ar,34.1,84,,Alto,Esgoto,Deserunt eveniet expedita asperiores aperiam.,Similique sequi enim dignissimos.,"""Orgânico, rico em nutrientes""",Inventore est minima delectus at.,Maria Liz Cunha,Perferendis deserunt esse sunt.
525,2025-08-19,"""0.7375, -64.906""",solo,26.4,56,,Baixo,,Maiores quae nam.,Beatae blanditiis consequuntur eos quasi.,"""Argiloso, boa drenagem""",Exercitationem vero sunt culpa ipsam.,Augusto Cunha,Modi iure voluptatum hic dolorum.
526,2024-10-20,"""-27.82, -67.7168""",água,16.4,71,7.9,Alto,Plástico,Earum eligendi illum eos illo.,Odio nostrum mollitia.,"""Rochoso, baixa permeabilidade""",Dolores ipsam molestiae rerum earum facilis.,Ravi da Rosa,Ut iure nobis necessitatibus corrupti error velit molestiae omnis.
527,2025-09-19,"""-32.6238, -39.9788""",ar,33.8,67,,Crítico,Radioatividade,Eligendi dignissimos ipsa laborum laboriosam aperiam eum.,Quod nobis.,"""Rochoso, baixa permeabilidade""",Exercitationem dolore excepturi non occaecati autem laborum.,Srta. Sara Almeida,Incidunt soluta qui nemo.
